#gwasCatalog.chrom,gwasCatalog.chromStart,gwasCatalog.chromEnd,gwasCatalog.name,gwasCatalog.pubMedID,gwasCatalog.author,gwasCatalog.pubDate,gwasCatalog.journal,gwasCatalog.title,gwasCatalog.trait,gwasCatalog.initSample,gwasCatalog.replSample,gwasCatalog.region,gwasCatalog.genes,gwasCatalog.riskAllele,gwasCatalog.riskAlFreq,gwasCatalog.pValue,gwasCatalog.pValueDesc,gwasCatalog.orOrBeta,gwasCatalog.ci95,gwasCatalog.platform,gwasCatalog.cnv
chr16,299330,299331,rs7200589,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Body mass index,"359,983 European ancestry individuals, 163,835 East Asian ancestry individuals",,16p13.3,"",rs7200589-A,NR,7E-14,"",0.0178,[0.013-0.023] unit decrease,"Affymetrix, Illumina [20538802] (imputed)",N
chr16,299330,299331,rs7200589,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"434,794 European ancestry female individuals",,16p13.3,,rs7200589-A,0.2623,4E-13,"",0.014,[0.01-0.018] unit decrease,NR [~ 27400000] (imputed),N
chr16,309952,309953,rs2301522,34594039,Sakaue S,2021-09-30,Nat Genet,A cross-population atlas of genetic associations for 220 human phenotypes.,Weight,"360,116 European ancestry individuals, 165,419 East Asian ancestry individuals",,16p13.3,"",rs2301522-G,NR,5E-13,"",0.0125,[0.0092-0.0158] unit decrease,"Affymetrix, Illumina [20539548] (imputed)",N
chr16,337866,337867,rs11866815,30239722,Pulit SL,2018-09-14,Hum Mol Genet,"Meta-analysis of genome-wide association studies for body fat distribution in 694,649 individuals of European ancestry.",Body mass index,"806,834 European ancestry individuals",,16p13.3,,rs11866815-T,0.2568,2E-16,"",0.0153,[0.012-0.019] unit decrease,NR [~ 27400000] (imputed),N
chr16,337866,337867,rs11866815,30108127,Hoffmann TJ,2018-08-14,Genetics,A Large Multi-ethnic Genome-Wide Association Study of Adult Body Mass Index Identifies Novel Loci.,Body mass index,"315,347 European ancestry individuals, 8,322 Hispanic/Latino individuals, 7,290 East Asian ancestry individuals, 3,069 African American individuals, 459 South Asian ancestry individuals","431,743 European ancestry individuals, 9,275 South Asian ancestry individuals, 8,261 African British individuals, 1,822 East Asian ancestry individuals, 7,620 individuals",16p13.3,NR,rs11866815-C,NR,2E-7,"",0.016,[NR] unit increase,Affymetrix [at least 28613428] (imputed),N
chr16,337866,337867,rs11866815,26426971,Winkler TW,2015-10-01,PLoS Genet,The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.,Body mass index,"up to 309,889 European ancestry individuals",,16p13.3,"DDX11L10, POLR3K, SNRNP25, RHBDF1, HBZ, HBM, HBA2, HBA1, ITFG3, RGS11, ARHGDIG, PDIA2, MRPL28, TMEM8A, NME4, DECR2, LINC00235, SOLH, MIR5587, MIR3176, WDR90, FAM195A, RHOT2, RHBDL1, MSLN, MIR662, RPUSD1, CHTF18",rs11866815-T,0.236510378283325,5E-11,"",0.02079587,unit decrease,"Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)",N
chr16,337866,337867,rs11866815,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,AXIN1,rs11866815-C,0.763,2E-7,(EA),0.019,[0.012-0.026] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,337866,337867,rs11866815,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,AXIN1,rs11866815-C,0.763,1E-7,"(EA, women)",0.024,[0.015-0.033] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,337866,337867,rs11866815,25673413,Locke AE,2015-02-12,Nature,Genetic studies of body mass index yield new insights for obesity biology.,Body mass index,"up to 104,666 European ancestry male individuals, up to 132,115 European ancestry female individuals, 370 African American male individuals, 517 African American female individuals, 512 Hispanic male individuals, 764 Hispanic female individuals","up to 48,274 European ancestry male individuals, up to 39,864 European ancestry female individuals, 2,441 African American or Afro-Caribbean male individuals, 6,314 African American or Afro-Caribbean female individuals, 919 Filipino male individuals, 828 Filipino female individuals, 205 Seychellois male individuals, 287 Seychellois female individuals, 2,964 South Asian ancestry male individuals, 658 South Asian ancestry female individuals",16p13.3,AXIN1,rs11866815-C,0.754,2E-6,"",0.016,[0.0096-0.023] kg/m2 increase,"Affymetrix, Illumina [2550021]",N
chr16,357722,357723,rs7201895,30595370,Kichaev G,2018-12-27,Am J Hum Genet,Leveraging Polygenic Functional Enrichment to Improve GWAS Power.,Body mass index,"approximately 458,000 European ancestry individuals",,16p13.3,"",rs7201895-?,NR,1E-13,"",,"",NR [~ 8900000] (imputed),N
